bucket,n,defaults,default_rate,lift,cum_capture
10,30751,218,0.0071,0.0878,0.0088
9,30751,420,0.0137,0.1692,0.0257
8,30750,589,0.0192,0.2373,0.0494
7,30751,826,0.0269,0.3327,0.0827
6,30751,1105,0.0359,0.4451,0.1272
5,30750,1551,0.0504,0.6248,0.1897
4,30751,2262,0.0736,0.9112,0.2808
3,30750,3179,0.1034,1.2806,0.4089
2,30751,4883,0.1588,1.9669,0.6056
1,30751,9792,0.3184,3.9444,1.0
