Model,ROC-AUC,Gini,KS,PR-AUC,Lift@10%,F1 (t*),Precision,Recall,Brier,ECE,t*
LogReg,0.7006589129118167,0.4013178258236334,0.32181564283126546,0.21487481378141765,3.1952388986318865,0.25764384844691407,0.1659165777385979,0.5761933534743202,0.07823536545038223,0.07496321449997681,5.1865932618966326e-05
MLP,0.7255315978449068,0.4510631956898137,0.3376555237737097,0.20436335590358226,3.043372400298021,0.24782809576828982,0.15260909311393445,0.6590130916414905,0.07544442266225815,0.04326885470524183,0.04500739648938179
LightGBM multi-seed,0.7997486593901847,0.5994973187803694,0.4535143497068324,0.29733070734187644,3.89817534317458,0.29222356277714234,0.1813902370230604,0.7512588116817724,0.0649716709139866,0.002716328846664195,0.07257749076422759
SE-HC,0.8016882969488922,0.6033765938977844,0.4571922893397741,0.3005433615614158,3.9445006676000296,0.29992033443113036,0.18836527946850434,0.7355085599194361,0.06479585627739788,0.00283136032310364,0.08013524941243537
FP_FINAL,0.799878856112612,0.599757712225224,0.45444340208615913,0.2973262463348751,3.9235535643815656,0.29444254595449454,0.18340494624081738,0.7462235649546828,0.0649271463387486,0.0017613236283996693,0.07874879401090311
K3_stack_v8_FINAL,0.7997507290493341,0.5995014580986682,0.45415385742663317,0.29692597153281675,3.9175111307608548,0.29300876461424685,0.18206439375421649,0.7500906344410876,0.06494754152440722,0.0008547498402010621,0.07729042963093952
